observation_date,NGDPRSAXDCZAQ
1993-01-01,570937.3125
1993-04-01,574835.3750
1993-07-01,582207.0000
1993-10-01,587176.1250
1994-01-01,586899.3750
1994-04-01,592625.5000
1994-07-01,599289.6875
1994-10-01,610426.1875
1995-01-01,611952.0000
1995-04-01,613711.1875
1995-07-01,617783.0000
1995-10-01,619861.0000
1996-01-01,631343.8750
1996-04-01,638865.5000
1996-07-01,646477.5000
1996-10-01,652542.5000
1997-01-01,655571.8125
1997-04-01,659684.8750
1997-07-01,660340.8125
1997-10-01,660432.0000
1998-01-01,662167.0000
1998-04-01,663103.5000
1998-07-01,661651.0000
1998-10-01,662288.1250
1999-01-01,668653.1250
1999-04-01,673974.8750
1999-07-01,681334.0000
1999-10-01,688828.6250
2000-01-01,696879.8750
2000-04-01,703291.1250
2000-07-01,710256.3750
2000-10-01,716300.3750
2001-01-01,720702.1875
2001-04-01,724303.5000
2001-07-01,726228.3750
2001-10-01,731815.3750
2002-01-01,739763.0000
2002-04-01,749149.5000
2002-07-01,757628.6250
2002-10-01,763932.0000
2003-01-01,768781.1875
2003-04-01,772535.6875
2003-07-01,776728.1250
2003-10-01,781209.3125
2004-01-01,793035.1250
2004-04-01,804117.3750
2004-07-01,817265.6875
2004-10-01,825993.5000
2005-01-01,834390.5000
2005-04-01,849364.1250
2005-07-01,860946.1875
2005-10-01,866709.0000
2006-01-01,881938.5000
2006-04-01,894464.1875
2006-07-01,906818.1250
2006-10-01,919357.8125
2007-01-01,934285.1250
2007-04-01,941942.1250
2007-07-01,952981.1250
2007-10-01,966485.6250
2008-01-01,970544.8750
2008-04-01,982394.1250
2008-07-01,984741.3750
2008-10-01,979135.8125
2009-01-01,963904.8750
2009-04-01,960596.6875
2009-07-01,962824.3750
2009-10-01,969246.1250
2010-01-01,980554.6250
2010-04-01,988785.5000
2010-07-01,997588.1250
2010-10-01,1006873.5000
2011-01-01,1016789.1875
2011-04-01,1022479.8125
2011-07-01,1026710.6250
2011-10-01,1033734.1875
2012-01-01,1039593.8125
2012-04-01,1048271.6875
2012-07-01,1052533.5000
2012-10-01,1057553.5000
2013-01-01,1065760.2500
2013-04-01,1073512.5000
2013-07-01,1078605.7500
2013-10-01,1084412.5000
2014-01-01,1082916.7500
2014-04-01,1087190.7500
2014-07-01,1092415.5000
2014-10-01,1100595.2500
2015-01-01,1108545.3750
2015-04-01,1099186.3750
2015-07-01,1104137.3750
2015-10-01,1108923.3750
2016-01-01,1111572.2500
2016-04-01,1112641.7500
2016-07-01,1112506.2500
2016-10-01,1113450.7500
2017-01-01,1118707.7500
2017-04-01,1124808.1250
2017-07-01,1126876.6250
2017-10-01,1131309.2500
2018-01-01,1137294.2500
2018-04-01,1134466.2500
2018-07-01,1148418.1250
2018-10-01,1151604.8750
2019-01-01,1141546.3750
2019-04-01,1146708.6250
2019-07-01,1147913.8750
2019-10-01,1147498.2500
2020-01-01,1147036.7500
2020-04-01,953846.1875
2020-07-01,1085060.8750
2020-10-01,1114960.5000
2021-01-01,1121623.2500
2021-04-01,1137721.7500
2021-07-01,1118356.2500
2021-10-01,1136314.2500
2022-01-01,1151125.1250
2022-04-01,1140330.7500
2022-07-01,1162541.1250
2022-10-01,1146303.1250
2023-01-01,1153529.2500
2023-04-01,1161487.5000
2023-07-01,1156701.1250
2023-10-01,1160714.7500
2024-01-01,1161385.5000
2024-04-01,1164877.2500
2024-07-01,1163172.6250
2024-10-01,1169858.7500
